code,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,fotmob_id,25_cost
15157,James,Milner,142,134,170,MID,MID,MID,38807,5.0
17761,James,Tarkowski,265,236,291,DEF,DEF,DEF,243138,5.5
18892,Ashley,Young,588,238,,DEF,DEF,,23354,
37096,Lukasz,Fabianski,533,521,,GK,GK,,30973,
37642,Jonny,Evans,703,371,,DEF,DEF,,43248,
39155,Adam,Lallana,138,463,,MID,MID,,37234,
40145,Jack,Cork,163,,,MID,,,46008,
40383,Fraser,Forster,498,488,,GK,GK,,95336,
40386,Chris,Basham,474,,,DEF,,,113772,
40669,Angelo,Ogbonna,577,,,DEF,,,49543,
44683,Jay,Rodriguez,177,,,FWD,,,109491,
45034,Ivan,Perišić,507,,,DEF,,,163670,
47247,John,Fleck,481,,,MID,,,97194,
47431,Willian,Borges da Silva,591,772,,MID,MID,,94086,
48760,Mathias,Jorgensen,121,112,,DEF,DEF,,71908,
49262,Jason,Steele,148,142,138,GK,GK,GK,107917,4.5
49413,James,Tomkins,241,,,DEF,,,109897,
50175,Danny,Welbeck,154,148,178,FWD,FWD,FWD,113836,6.5
51090,Thiago,Emiliano da Silva,217,,,DEF,,,80562,
51927,Ben,Mee,109,100,,DEF,DEF,,240538,
54469,Adam,Smith,84,81,73,DEF,DEF,DEF,160447,4.5
54738,Thomas,Kaminski,614,,,GK,,,131408,
55037,Cheikhou,Kouyaté,451,,,MID,,,148302,
55459,Aaron,Cresswell,530,517,,DEF,DEF,,155782,
55494,Joel,Ward,242,215,,DEF,DEF,,146830,
56983,Matt,Ritchie,425,,,MID,,,155913,
57328,Nathaniel,Clyne,222,196,263,DEF,DEF,DEF,157838,4.0
57531,Michail,Antonio,523,512,,FWD,FWD,,158545,
58376,Alex,McCarthy,,469,,,GK,,119079,
58621,Kyle,Walker,369,363,187,DEF,DEF,DEF,159833,4.5
58822,Cédric,Alves Soares,2,,,DEF,,,160627,
59859,Ilkay,Gündogan,,625,420,,MID,MID,178818,6.5
59949,Seamus,Coleman,247,221,294,DEF,DEF,DEF,77690,4.5
60232,Craig,Dawson,551,542,,DEF,DEF,,169162,
60252,Andros,Townsend,727,,,MID,,,166422,
60307,Pascal,Groß,134,125,,MID,MID,,167008,
60586,Jóhann Berg,Gudmundsson,170,,,MID,,,129915,
60689,Chris,Wood,468,447,525,FWD,FWD,FWD,169719,7.5
60914,Joel,Matip,305,,,DEF,,,171698,
61256,Carlos Henrique,Casimiro,376,368,457,MID,MID,MID,208494,5.5
61366,Kevin,De Bruyne,349,345,,MID,MID,,169200,
61558,Thiago,Alcántara do Nascimento,310,,,MID,,,172949,
67089,Martin,Dubravka,409,396,470,GK,GK,GK,72241,4.0
69752,Norberto,Murara Neto,77,73,66,GK,GK,GK,176186,4.5
74944,Sam,Morsy,,278,,,MID,,185326,
75115,Callum,Wilson,433,421,671,FWD,FWD,FWD,184321,6.0
76357,Tom,Cairney,268,243,331,MID,MID,MID,182962,5.0
77794,Kieran,Trippier,430,418,478,DEF,DEF,DEF,191869,5.0
77818,James,Shea,335,,,GK,,,239759,
78916,Dan,Burn,407,395,476,DEF,DEF,DEF,188058,5.0
79602,Daniel,Bentley,546,536,629,GK,GK,GK,189103,4.0
79934,Oliver,Norwood,488,,,MID,,,210971,
80146,Jordan,Ayew,221,192,,MID,MID,,154280,
80201,Bernd,Leno,275,248,314,GK,GK,GK,215168,5.0
80226,Serge,Aurier,436,,,DEF,,,195299,
80607,Christian,Eriksen,379,370,,MID,MID,,157723,
80801,Idrissa,Gueye,254,222,302,MID,MID,MID,179410,5.5
82143,Wes,Foderingham,482,522,601,GK,GK,GK,212944,4.0
82514,Tim,Ream,281,253,,DEF,DEF,,198444,
82691,George,Baldock,473,,,DEF,,,199494,
82738,Luke,Berry,317,,,MID,,,185349,
83283,Nathan,Redmond,600,,,MID,,,201664,
83299,Lewis,Dunk,129,120,146,DEF,DEF,DEF,201690,4.5
83427,Jack,Robinson,576,,,DEF,,,202181,
84182,Alphonse,Areola,524,513,600,GK,GK,GK,210164,4.5
84583,Philippe,Coutinho Correia,38,,,MID,,,184536,
84939,Danny,Ings,535,523,,FWD,FWD,,214426,
85633,Matz,Sels,808,443,502,GK,GK,GK,181069,5.0
85955,Jorge Luiz,Frello Filho,9,7,,MID,MID,,282775,
85971,Son,Heung-min,516,503,579,MID,MID,MID,212867,8.5
86417,Jeffrey,Schlupp,240,214,,MID,MID,,214570,
87835,Matt,Doherty,598,543,632,DEF,DEF,DEF,239920,4.5
88248,Stefan,Ortega Moreno,361,358,400,GK,GK,GK,276729,5.0
88484,Pablo,Sarabia,570,565,,MID,MID,,240054,
88894,Ross,Barkley,630,29,55,MID,MID,MID,215384,5.0
88900,Jack,Stephens,,472,,,DEF,,215387,
90105,Ryan,Fraser,410,397,,MID,MID,,230916,
90152,Raphaël,Varane,395,,,DEF,,,230982,
90585,Willy,Boly,439,425,514,DEF,DEF,DEF,246331,4.0
91046,Cauley,Woodrow,340,,,FWD,,,282276,
91651,Mateo,Kovačić,356,354,422,MID,MID,MID,239219,6.0
91889,Niclas,Füllkrug,,589,625,,FWD,FWD,276791,6.0
93100,Jannik,Vestergaard,,307,,,DEF,,205893,
93264,Eric,Dier,496,,,DEF,,,361315,
94147,Conor,Coady,,288,,,DEF,,247761,
95463,Danny,Ward,,308,,,GK,,,
95658,Harry,Maguire,387,377,442,DEF,DEF,DEF,255610,4.5
96784,Jordan,Clark,320,,,MID,,,259301,
96994,Bobby,De Cordova-Reid,270,290,,MID,MID,,262550,
97032,Virgil,van Dijk,313,339,373,DEF,DEF,DEF,209405,6.0
97299,John,Stones,368,362,409,DEF,DEF,DEF,263653,5.5
98747,Nick,Pope,424,413,469,GK,GK,GK,280484,5.0
98980,Emiliano,Martínez Romero,49,47,32,GK,GK,GK,268375,5.0
101148,Jamaal,Lascelles,419,407,480,DEF,DEF,DEF,279489,4.5
101178,James,Ward-Prowse,664,531,614,MID,MID,MID,279490,6.0
101184,Calum,Chambers,37,,,DEF,,,425255,
101188,Lucas,Digne,42,36,37,DEF,DEF,DEF,210111,4.5
101668,Jamie,Vardy,,306,,,FWD,,286119,
101982,Sam,Johnstone,230,204,627,GK,GK,GK,280287,4.5
102057,Raúl,Jiménez,558,252,337,FWD,FWD,FWD,292313,6.5
103192,Kurt,Zouma,544,532,,DEF,DEF,,281207,
103914,Charlie,Taylor,178,475,,DEF,DEF,,289137,
103955,Raheem,Sterling,216,186,,MID,MID,,246575,
104047,Pelly Ruddock,Mpanzu,582,,,MID,,,498532,
104542,Loris,Karius,580,,,GK,,,287894,
106468,Alexandre,Moreno Lopera,32,26,43,DEF,DEF,DEF,477588,4.0
106606,Massimo,Luongo,,277,,,MID,,305219,
106611,Michael,Keane,257,228,295,DEF,DEF,DEF,290410,4.5
106618,Paul,Dummett,581,,,DEF,,,308932,
106760,Luke,Shaw,398,387,443,DEF,DEF,DEF,362694,4.5
108053,Conor,Townsend,,583,,,DEF,,295069,
108413,Will,Hughes,229,203,270,MID,MID,MID,295067,5.0
108416,John,Egan,480,,,DEF,,,295062,
108796,Tom,Lockyer,575,,,DEF,,,369761,
108813,Christian,Walton,,283,,,GK,,512013,
109345,Solly,March,140,132,159,MID,MID,MID,416850,6.0
109533,Emerson,Palmieri dos Santos,532,520,604,DEF,DEF,DEF,267371,4.5
109646,Tosin,Adarabioyo,286,187,232,DEF,DEF,DEF,683402,4.5
109745,Kepa,Arrizabalaga,187,152,2,GK,GK,GK,317564,4.5
110504,Bertrand,Traoré,59,,,MID,,,303059,
110735,Adam,Webster,153,147,153,DEF,DEF,DEF,303346,4.5
111234,Jordan,Pickford,263,235,287,GK,GK,GK,303919,5.5
111317,David,Brooks,64,62,86,MID,MID,MID,674014,5.0
111452,Odysseas,Vlachodimos,710,412,472,GK,GK,GK,304355,4.0
111478,Joël,Veltman,151,145,152,DEF,DEF,DEF,304455,4.5
111773,Emil,Krafth,417,405,479,DEF,DEF,DEF,259306,4.5
111782,Robin,Olsen,53,51,,GK,GK,,120569,
111931,Ricardo,Barbosa Pereira,,302,,,DEF,,306128,
112520,Alex,Palmer,,764,,,GK,,643228,
114128,Jonathan,Castro Otto,560,,,DEF,,,360918,
114241,Harry,Toffolo,465,444,,DEF,DEF,,575804,
114243,Jacob,Murphy,423,402,489,MID,MID,MID,521148,6.5
114283,Jack,Grealish,354,349,419,MID,MID,MID,312765,6.5
115382,Neal,Maupay,258,229,,FWD,FWD,,391064,
115556,Ben,Davies,495,484,571,DEF,DEF,DEF,276121,4.5
116216,Leandro,Trossard,26,23,20,MID,MID,MID,318615,7.0
116404,Felipe Augusto,de Almeida Monteiro,445,,,DEF,,,268212,
116535,Alisson,Ramses Becker,291,310,366,GK,GK,GK,319784,5.5
118342,Mark,Flekken,101,91,,GK,GK,,330643,
118748,Mohamed,Salah,308,328,381,MID,MID,MID,292462,14.5
119471,Fabian,Schär,427,415,474,DEF,DEF,DEF,189982,5.5
120250,André,Tavares Gomes,244,,,MID,,,361770,
121160,Ederson,Santana de Moraes,352,347,399,GK,GK,GK,363364,5.5
121599,Abdoulaye,Doucouré,249,217,,MID,MID,,352887,
122411,Cameron,Burgess,,263,,,DEF,,564842,
122798,Andrew,Robertson,307,335,372,DEF,DEF,DEF,357880,6.0
122806,John,McGinn,50,48,54,MID,MID,MID,356406,5.5
126184,Nathan,Aké,342,341,405,DEF,DEF,DEF,417068,5.5
128295,Christian,Nørgaard,110,101,24,MID,MID,MID,266520,5.5
128340,Kieffer,Moore,76,,,FWD,,,469202,
128389,Aleksandar,Mitrović,278,,,FWD,,,351860,
132015,Pierre-Emile,Højbjerg,499,490,,MID,MID,,266523,
135720,Kevin,Danso,,767,570,,DEF,DEF,754126,4.5
138001,Tom,King,564,556,630,GK,GK,GK,,4.0
140200,Thomas,Strakosha,116,,,GK,,,403049,
141746,Bruno,Borges Fernandes,373,366,449,MID,MID,MID,422685,9.0
144485,Ivan,Toney,117,108,,FWD,FWD,,408987,
