fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,code,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points
620026,Hwang Hee-chan,MID,Wolves,0.8,0,0,2,0,2.3,550,0.01,0.01,0.0,1.84,63,1,0,0.2,0.0,2024-10-05T14:00:00Z,33,False,4,0,0,0,0,7,0,39494,0,3,5,0.0,1,-4642,884,5526,62,False,0,184754.0,Hwang,Hee-chan,557.0,550.0,642.0,MID,MID,MID,6.0,184754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,2.0,0,1
1174672,João Victor Gomes da Silva,MID,Wolves,1.8,0,0,14,0,15.9,553,0.03,0.05,0.02,3.15,63,4,0,2.7,7.4,2024-10-05T14:00:00Z,76,False,4,0,0,0,0,7,0,11569,1,3,5,4.0,2,-131,803,934,49,False,0,448089.0,João Victor,Gomes da Silva,559.0,553.0,646.0,MID,MID,MID,5.5,448089.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,14.0,0,2
536455,Gonçalo Manuel Ganchinho Guedes,MID,Wolves,0.8,0,0,6,0,25.3,548,0.07,0.11,0.04,1.56,63,1,0,3.6,6.4,2024-10-05T14:00:00Z,22,False,4,0,0,0,0,7,0,7032,0,3,5,4.0,1,-281,253,534,53,False,0,181284.0,Gonçalo Manuel,Ganchinho Guedes,554.0,548.0,647.0,MID,MID,MID,5.5,181284.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,6.0,0,1
169162,Craig Dawson,DEF,Wolves,0.2,0,0,-8,0,1.9,542,0.02,0.07,0.05,4.25,63,5,0,3.5,14.4,2024-10-05T14:00:00Z,90,False,4,0,0,0,0,7,0,17975,1,3,5,19.0,-1,-447,847,1294,44,False,1,60232.0,Craig,Dawson,551.0,542.0,0.0,DEF,DEF,DEF,0.0,60232.0,1.0,0.0,5.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,-8.0,0,-1
470834,Nélson Cabral Semedo,DEF,Wolves,1.0,1,0,-5,0,17.3,559,0.12,0.16,0.04,4.25,63,5,0,4.7,23.4,2024-10-05T14:00:00Z,90,False,4,0,0,0,0,7,0,9847,1,3,5,6.0,2,1399,2204,805,45,False,1,200402.0,Nélson,Cabral Semedo,572.0,559.0,0.0,DEF,DEF,DEF,0.0,200402.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,-5.0,0,2
769166,Jean-Ricner Bellegarde,MID,Wolves,2.8,1,0,13,0,10.6,535,0.0,0.0,0.0,1.1,63,1,0,3.4,17.2,2024-10-05T14:00:00Z,13,False,4,0,0,0,0,7,0,8662,0,3,5,6.0,4,119,1178,1059,50,False,0,231057.0,Jean-Ricner,Bellegarde,715.0,535.0,644.0,MID,MID,MID,5.5,231057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,13.0,0,4
280287,Sam Johnstone,GK,Wolves,1.8,0,0,2,0,0.0,204,0.0,0.0,0.0,4.25,63,5,0,5.3,53.2,2024-10-05T14:00:00Z,90,False,4,0,0,0,0,7,7,54120,1,3,5,0.0,2,5249,8352,3103,44,False,0,101982.0,Sam,Johnstone,230.0,204.0,627.0,GK,GK,GK,4.5,101982.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,2.0,0.0,1,0,0,0,0,0,0,0,0,0,5.0,0.0,7.0,0,2
1157236,Yehor Yarmoliuk,MID,Brentford,1.0,0,0,4,0,0.7,111,0.01,0.01,0.0,0.36,63,1,0,0.2,1.6,2024-10-05T14:00:00Z,13,False,20,0,0,0,0,7,0,270881,0,3,5,0.0,1,40256,61546,21290,44,True,0,508395.0,Yegor,Yarmoliuk,120.0,111.0,129.0,MID,MID,MID,5.0,508395.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,4.0,0,1
919435,Sepp van den Berg,DEF,Brentford,1.2,0,0,-3,0,13.8,338,0.02,0.21,0.19,1.05,63,3,0,5.6,17.8,2024-10-05T14:00:00Z,90,False,20,0,0,0,0,7,0,252998,1,3,5,24.0,1,68411,80118,11707,40,True,0,444765.0,Sepp,van den Berg,312.0,338.0,113.0,DEF,DEF,DEF,4.5,444765.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,-3.0,0,1
711357,Ethan Pinnock,DEF,Brentford,2.8,0,0,17,0,0.5,104,0.0,0.19,0.19,1.05,63,3,1,10.7,50.4,2024-10-05T14:00:00Z,90,False,20,0,0,0,0,7,0,47467,1,3,5,56.0,7,2884,6565,3681,45,True,0,231065.0,Ethan,Pinnock,112.0,104.0,111.0,DEF,DEF,DEF,4.5,231065.0,2.0,0.0,5.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,17.0,0,7
933845,Rayan Aït-Nouri,DEF,Wolves,4.5,1,0,17,0,52.4,533,0.22,0.28,0.06,4.25,63,5,1,13.8,62.8,2024-10-05T14:00:00Z,90,False,4,0,0,0,0,7,0,225739,1,3,5,23.0,9,41214,51485,10271,44,False,0,448514.0,Rayan,Aït-Nouri,545.0,533.0,402.0,DEF,DEF,DEF,6.0,448514.0,1.0,0.0,1.0,0.0,2.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,17.0,0,9
421786,Mario Lemina,MID,Wolves,3.8,0,0,9,0,13.7,557,0.02,0.24,0.22,4.25,63,5,0,4.1,6.8,2024-10-05T14:00:00Z,90,False,4,0,0,0,0,7,0,50291,1,3,5,20.0,2,4037,10520,6483,50,False,0,151086.0,Mario,Lemina,565.0,557.0,0.0,MID,MID,MID,0.0,151086.0,1.0,0.0,5.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,9.0,0,2
821100,Jørgen Strand Larsen,FWD,Wolves,3.8,0,0,34,0,1.2,566,0.0,0.16,0.16,4.25,63,5,1,6.2,37.4,2024-10-05T14:00:00Z,90,False,4,0,0,0,0,7,0,108125,1,3,5,23.0,6,3179,17680,14501,55,False,0,247412.0,Jørgen,Strand Larsen,0.0,566.0,654.0,0,FWD,FWD,6.5,247412.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,34.0,2,8
266520,Christian Nørgaard,MID,Brentford,2.2,0,0,34,0,6.8,101,0.01,0.4,0.39,0.7,63,2,1,8.8,41.8,2024-10-05T14:00:00Z,76,False,20,0,0,0,0,7,0,9011,1,3,5,39.0,7,-893,367,1260,48,True,0,128295.0,Christian,Nørgaard,110.0,101.0,24.0,MID,MID,MID,5.5,128295.0,2.0,2.0,3.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,34.0,2,9
688273,Vitaly Janelt,MID,Brentford,2.5,1,0,32,0,31.1,94,0.16,0.26,0.1,1.05,63,3,0,8.6,37.2,2024-10-05T14:00:00Z,90,False,20,0,0,0,0,7,0,21972,1,3,5,18.0,4,-607,2141,2748,49,True,1,204580.0,Vitaly,Janelt,105.0,94.0,125.0,MID,MID,MID,5.0,204580.0,1.0,0.0,4.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0,0,0.0,-0.0,32.0,0,6
1010426,Keane Lewis-Potter,MID,Brentford,3.2,1,0,18,0,32.1,98,0.39,0.64,0.25,1.05,63,3,0,10.7,24.2,2024-10-05T14:00:00Z,90,False,20,0,0,0,0,7,0,8285,1,3,5,51.0,5,-397,1338,1735,50,True,0,249231.0,Keane,Lewis-Potter,107.0,98.0,107.0,MID,MID,DEF,5.0,249231.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,5.0,4.0,0.0,0.0,0.0,1,0,0,-1,0,0,0,-12,0,0,0.0,-0.0,6.0,0,4
330643,Mark Flekken,GK,Brentford,2.2,0,0,5,0,0.0,91,0.0,0.0,0.0,1.05,63,3,0,2.3,23.2,2024-10-05T14:00:00Z,90,False,20,0,0,0,0,7,3,1299059,1,3,5,0.0,2,47227,92879,45652,45,True,0,118342.0,Mark,Flekken,101.0,91.0,0.0,GK,GK,GK,0.0,118342.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0,0.0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,6.0,0,2
1083796,Kevin Schade,MID,Brentford,1.2,0,0,6,0,0.3,106,0.0,0.54,0.54,0.7,63,2,0,5.5,8.6,2024-10-05T14:00:00Z,76,False,20,0,0,0,0,7,0,14061,1,3,5,46.0,2,-2854,871,3725,54,True,0,513418.0,Kevin,Schade,115.0,106.0,120.0,MID,MID,MID,7.0,513418.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,6.0,0,2
803343,Mads Roerslev Rasmussen,DEF,Brentford,0.8,0,0,-1,0,0.0,105,0.0,0.0,0.0,0.21,63,1,0,0.0,0.0,2024-10-05T14:00:00Z,1,False,20,0,0,0,0,7,0,9423,0,3,5,0.0,1,-560,322,882,44,True,0,226956.0,Mads,Roerslev Rasmussen,114.0,105.0,112.0,DEF,DEF,DEF,4.5,226956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,0,1
1013277,Toti António Gomes,DEF,Wolves,0.2,0,0,-7,0,1.9,567,0.01,0.02,0.01,4.25,63,5,0,2.7,20.2,2024-10-05T14:00:00Z,90,False,4,0,0,0,0,7,0,17044,1,3,5,5.0,0,249,1165,916,43,False,0,510362.0,Toti António,Gomes,573.0,567.0,637.0,DEF,DEF,DEF,4.5,510362.0,0.0,0.0,4.0,2.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,-7.0,0,0
888912,Mikkel Damsgaard,MID,Brentford,4.2,2,2,40,0,86.8,89,0.73,0.73,0.0,0.84,63,2,0,14.4,55.0,2024-10-05T14:00:00Z,90,False,20,0,0,0,0,7,0,8405,1,3,5,2.0,10,426,1204,778,50,True,0,440089.0,Mikkel,Damsgaard,98.0,89.0,121.0,MID,MID,MID,6.0,440089.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,40.0,4,12
963965,Fábio Freitas Gouveia Carvalho,MID,Brentford,3.8,0,0,23,0,0.8,314,0.02,0.91,0.89,0.36,63,1,1,6.9,33.4,2024-10-05T14:00:00Z,13,False,20,0,0,0,0,7,0,134996,0,3,5,35.0,6,34652,45350,10698,48,True,0,244858.0,Fábio,Freitas Gouveia Carvalho,0.0,314.0,123.0,0,MID,MID,5.0,244858.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,23.0,0,6
923312,Bryan Mbeumo,MID,Brentford,6.8,0,1,38,0,47.3,99,0.29,1.13,0.84,1.05,63,3,1,11.8,46.6,2024-10-05T14:00:00Z,90,False,20,0,0,0,0,7,0,2654796,1,3,5,24.0,8,544115,598947,54832,74,True,0,446008.0,Bryan,Mbeumo,108.0,99.0,119.0,MID,MID,MID,8.0,446008.0,1.0,3.0,1.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0.0,-6.0,32.0,0,7
961306,Nathan Collins,DEF,Brentford,3.2,1,0,26,0,5.6,88,0.23,0.94,0.71,1.05,63,3,1,11.7,62.8,2024-10-05T14:00:00Z,90,False,20,0,0,0,0,7,0,149172,1,3,5,49.0,10,9281,19433,10152,45,True,0,432830.0,Nathan,Collins,96.0,88.0,106.0,DEF,DEF,DEF,5.0,432830.0,1.0,1.0,9.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0,0,0.0,0.0,26.0,0,12
863098,Matheus Santos Carneiro Da Cunha,FWD,Wolves,5.2,0,3,44,0,14.3,541,0.27,0.71,0.44,4.25,63,5,1,9.3,40.6,2024-10-05T14:00:00Z,90,False,4,0,0,0,0,7,0,256134,1,3,5,38.0,9,22936,47399,24463,65,False,0,430871.0,Matheus,Santos Carneiro Da Cunha,590.0,541.0,450.0,FWD,FWD,MID,8.0,430871.0,1.0,3.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,-6,0,0,0,0.0,-0.0,38.0,3,10
1186529,Carlos Roberto Forbs Borges,MID,Wolves,0.5,0,0,14,0,16.7,655,0.07,0.07,0.0,2.69,63,4,0,3.5,14.2,2024-10-05T14:00:00Z,67,False,4,0,0,0,0,7,0,1382,1,3,5,4.0,1,153,318,165,55,False,1,463212.0,Carlos Roberto,Forbs Borges,0.0,655.0,0.0,0,MID,MID,0.0,463212.0,0.0,1.0,1.0,4.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,14.0,0,1
1174296,André Trindade da Costa Neto,MID,Wolves,1.2,0,0,14,0,23.8,642,0.01,0.02,0.01,2.4,63,4,0,4.0,9.4,2024-10-05T14:00:00Z,56,False,4,0,0,0,0,7,0,1994,1,3,5,7.0,1,233,444,211,50,False,0,509291.0,André,Trindade da Costa Neto,0.0,642.0,643.0,0,MID,MID,5.5,509291.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,14.0,0,1
552718,Kristoffer Ajer,DEF,Brentford,0.8,0,0,-3,0,2.6,86,0.02,0.02,0.0,0.84,63,2,0,1.9,10.6,2024-10-05T14:00:00Z,90,False,20,0,0,0,0,7,0,40240,1,3,5,6.0,0,1845,4316,2471,45,True,1,191866.0,Kristoffer,Ajer,90.0,86.0,108.0,DEF,DEF,DEF,4.5,191866.0,0.0,0.0,4.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,-3.0,0,0
