fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,starts,total_points,yellow_cards,fpl_id,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points,value,PPM,PPMPM,new_value,new_PPM,new_PPMPM,total_points_change,bps_change,bonus_change,position_changed
23354,Ashley Young,DEF,Everton,67.0,1,3,375,9,1.51,2.18,0.67,37.73,34,0,2277,1,0,0,1,0,27,76,5,18892.0,Ashley,Young,588.0,238.0,0.0,DEF,DEF,DEF,0.0,18892.0,2.0,24.0,45.0,38.0,22.0,6.0,120.0,53.0,15.0,0.0,0.0,0.0,31,0,0,0,0,0,0,0,24.0,4.0,0.0,0.0,403.0,3,76,0.0,2.452,0.0,0.0,2.452,0.0,0,28.0,0,False
30973,Lukasz Fabianski,GK,West Ham,11.0,0,1,152,1,0.0,0.0,0.0,17.0,21,0,721,0,0,0,0,33,7,24,0,37096.0,Lukasz,Fabianski,533.0,521.0,0.0,GK,GK,GK,0.0,37096.0,0.0,0.0,9.0,0.0,1.0,0.0,68.0,1.0,1.0,21.0,12.0,0.0,10,0,0,0,0,0,0,0,0.0,0.0,21.0,0.0,173.0,3,26,0.0,2.4,0.0,0.0,2.6,0.0,2,21.0,2,False
37234,Adam Lallana,MID,Brighton,21.0,1,0,95,2,1.6,2.43,0.83,12.13,13,0,839,0,0,0,0,0,13,30,2,39155.0,Adam,Lallana,138.0,463.0,0.0,MID,MID,MID,0.0,39155.0,2.0,11.0,1.0,3.0,3.0,1.0,22.0,8.0,5.0,0.0,0.0,0.0,25,0,0,0,0,0,0,0,11.0,4.0,0.0,0.0,110.0,0,30,0.0,1.2,0.0,0.0,1.2,0.0,0,15.0,0,False
38807,James Milner,MID,Brighton,21.7,2,0,146,4,2.18,2.47,0.29,12.81,12,0,770,0,0,0,0,0,11,28,3,15157.0,James,Milner,142.0,134.0,170.0,MID,MID,MID,5.0,15157.0,1.0,4.0,13.0,14.0,8.0,0.0,45.0,20.0,6.0,0.0,0.0,0.0,15,0,0,0,0,0,0,0,4.0,2.0,0.0,0.0,152.0,0,28,5.6,1.867,0.373,5.6,1.867,0.373,0,6.0,0,False
43248,Jonny Evans,DEF,Man Utd,35.0,1,3,293,4,0.27,0.33,0.06,27.68,24,0,1389,0,0,0,0,0,15,49,2,37642.0,Jonny,Evans,703.0,371.0,0.0,DEF,DEF,DEF,0.0,37642.0,0.0,13.0,74.0,14.0,23.0,18.0,70.0,22.0,8.0,0.0,0.0,0.0,23,0,0,0,8,0,0,0,13.0,0.0,0.0,0.0,306.0,3,57,0.0,2.13,0.0,0.0,2.478,0.0,8,13.0,0,False
46008,Jack Cork,MID,Burnley,0.3,0,0,8,0,0.02,0.02,0.0,0.13,0,0,25,0,0,0,0,0,0,4,0,40145.0,Jack,Cork,163.0,0.0,0.0,MID,0,MID,0.0,40145.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,9.0,0,4,0.0,1.0,0.0,0.0,1.0,0.0,0,1.0,0,False
49543,Angelo Ogbonna,DEF,West Ham,5.1,0,0,103,2,0.06,0.1,0.04,15.9,14,0,634,0,0,0,0,0,7,19,1,40669.0,Angelo,Ogbonna,577.0,0.0,0.0,DEF,0,DEF,0.0,40669.0,0.0,3.0,29.0,5.0,3.0,10.0,10.0,11.0,6.0,0.0,0.0,0.0,11,0,0,0,6,0,0,0,3.0,0.0,0.0,0.0,106.0,0,25,0.0,1.727,0.0,0.0,2.273,0.0,6,3.0,0,False
71908,Mathias Jorgensen,DEF,Brentford,13.5,0,3,179,2,0.55,1.29,0.74,19.72,24,1,1086,0,0,0,0,0,12,29,4,48760.0,Mathias,Jorgensen,121.0,112.0,0.0,DEF,DEF,DEF,0.0,48760.0,2.0,6.0,38.0,12.0,12.0,5.0,67.0,17.0,5.0,0.0,0.0,0.0,14,0,0,0,2,0,0,0,6.0,4.0,0.0,0.0,189.0,3,31,0.0,2.071,0.0,0.0,2.214,0.0,2,10.0,0,False
72241,Martin Dubravka,GK,Newcastle,73.5,0,3,426,4,0.0,0.0,0.0,44.34,42,0,1984,0,0,1,0,88,22,75,1,67089.0,Martin,Dubravka,409.0,396.0,470.0,GK,GK,GK,4.0,67089.0,0.0,5.0,16.0,0.0,0.0,0.0,195.0,0.0,0.0,59.0,29.0,0.0,23,0,0,0,0,0,0,0,5.0,0.0,59.0,0.0,490.0,7,79,18.75,3.261,0.815,19.75,3.435,0.859,4,64.0,4,False
77690,Seamus Coleman,DEF,Everton,12.6,0,3,141,4,0.7,0.7,0.0,10.48,10,0,661,1,0,0,0,0,7,30,0,59949.0,Seamus,Coleman,247.0,221.0,294.0,DEF,DEF,DEF,4.5,59949.0,0.0,5.0,24.0,14.0,7.0,4.0,39.0,17.0,3.0,0.0,0.0,0.0,12,0,0,0,2,0,0,0,5.0,0.0,0.0,0.0,146.0,0,29,6.667,2.5,0.556,6.444,2.417,0.537,-1,5.0,-3,False
