fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,minutes,modified,own_goals,penalties_missed,penalties_saved,red_cards,saves,starts,total_points,yellow_cards,fpl_id,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,value,PPM,PPMPM,new_value,new_PPM,new_PPMPM,total_points_change,bps_change,bonus_change,position_changed
23354,Ashley Young,DEF,Everton,87.6,4,9,354,9,2.87,3.14,0.27,26.17,23,1,1864,0,0,0,0,1,0,19,98,7,18892.0,Ashley,Young,588.0,238.0,0.0,DEF,DEF,DEF,0.0,18892.0,3.0,22.0,56.0,33.0,25.0,4.0,75.0,58.0,25.0,0.0,0.0,0.0,32,0,0,0,6,0,0,0,0,0,0.0,0.0,354.0,8,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.062,0.0,0,3.219,0.0,5,0.0,-1,False
30973,Łukasz Fabiański,GK,West Ham,31.9,0,2,143,2,0.0,0.0,0.0,22.78,21,0,1160,0,0,0,0,0,50,13,39,2,37096.0,Lukasz,Fabianski,533.0,521.0,0.0,GK,GK,GK,0.0,37096.0,0.0,1.0,14.0,0.0,0.0,0.0,99.0,0.0,0.0,37.0,13.0,0.0,14,0,0,0,0,0,0,0,0,0,37.0,0.0,180.0,3,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.786,0.0,0,2.857,0.0,1,37.0,1,False
37234,Adam Lallana,MID,Southampton,0.4,2,1,74,0,0.48,0.63,0.15,7.96,8,0,352,0,0,0,0,0,0,5,17,4,39155.0,Adam,Lallana,138.0,463.0,0.0,MID,MID,MID,0.0,39155.0,0.0,8.0,5.0,5.0,5.0,1.0,19.0,8.0,3.0,0.0,0.0,0.0,14,0,0,0,0,0,0,0,0,0,0.0,0.0,74.0,2,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.214,0.0,0,1.286,0.0,1,0.0,1,False
38807,James Milner,MID,Brighton,4.3,0,0,27,1,0.15,0.31,0.16,1.98,1,0,170,0,0,0,0,0,0,3,6,1,15157.0,James,Milner,142.0,134.0,170.0,MID,MID,MID,5.0,15157.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0.0,0.0,27.0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,0.25,1,1.5,0.25,0,0.0,0,False
43248,Jonny Evans,DEF,Man Utd,9.7,0,3,71,1,0.02,0.13,0.11,2.96,2,0,312,0,0,0,0,0,0,3,15,1,37642.0,Jonny,Evans,703.0,371.0,0.0,DEF,DEF,DEF,0.0,37642.0,1.0,6.0,15.0,6.0,5.0,2.0,16.0,8.0,2.0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,0,0.0,0.0,71.0,3,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.143,0.0,0,2.143,0.0,0,0.0,0,False
72241,Martin Dúbravka,GK,Newcastle,33.0,0,2,160,5,0.0,0.0,0.0,11.19,12,0,900,0,0,0,0,0,29,10,44,0,67089.0,Martin,Dubravka,409.0,396.0,470.0,GK,GK,GK,4.0,67089.0,0.0,1.0,5.0,0.0,0.0,0.0,79.0,0.0,0.0,18.0,11.0,0.0,10,0,0,0,0,0,0,0,0,0,18.0,0.0,178.0,2,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4.4,1.1,11,4.4,1.1,0,18.0,0,False
77690,Séamus Coleman,DEF,Everton,1.1,0,0,17,0,0.03,0.65,0.62,4.45,4,0,214,0,0,0,0,0,0,3,5,1,59949.0,Seamus,Coleman,247.0,221.0,294.0,DEF,DEF,DEF,4.5,59949.0,1.0,1.0,7.0,2.0,1.0,3.0,7.0,3.0,1.0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,17.0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.2,1,1.0,0.2,0,0.0,0,False
94086,Willian Borges da Silva,MID,Fulham,9.0,0,0,54,1,0.72,1.0,0.28,4.45,3,0,251,0,0,0,0,0,0,2,13,0,47431.0,Willian,Borges da Silva,591.0,772.0,0.0,MID,MID,MID,0.0,47431.0,0.0,0.0,1.0,2.0,1.0,0.0,14.0,4.0,2.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0,0.0,0.0,54.0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.3,0.0,0,1.3,0.0,0,0.0,0,False
95336,Fraser Forster,GK,Spurs,18.5,0,0,64,1,0.0,0.0,0.0,14.8,15,0,630,0,0,0,0,0,29,7,19,0,40383.0,Fraser,Forster,498.0,488.0,0.0,GK,GK,GK,0.0,40383.0,0.0,0.0,7.0,0.0,0.0,0.0,34.0,0.0,0.0,20.0,9.0,0.0,7,0,0,0,0,0,0,0,0,0,20.0,0.0,84.0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.714,0.0,0,2.857,0.0,1,20.0,1,False
107917,Jason Steele,GK,Brighton,6.7,0,1,46,1,0.0,0.0,0.0,1.88,1,0,180,0,0,0,0,0,3,2,9,0,49262.0,Jason,Steele,148.0,142.0,138.0,GK,GK,GK,4.5,49262.0,0.0,1.0,3.0,0.0,0.0,0.0,25.0,0.0,0.0,2.0,1.0,0.0,2,0,0,0,0,0,0,0,0,0,2.0,0.0,48.0,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.5,1.0,2,4.5,1.0,0,2.0,0,False
